"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V10" "V11" "V13" "V14" "V16" "V17" "V19" "V20" "V22" "V23" "V25" "V26" "V28" "V29" "V31" "V32"
"1" 1.167 0.0499999999999999 10 20 159 5 100 0.972764000000001 0.839 1.035098 0.956 1.035098 0.998 0.6533264 0.935 0.7035406 0.896 0.7035406 0.964 0.7035406 0.904 0.7035406 0.967 0.320644
"2" 1.167 0.0499999999999999 10 20 159 20 100 0.728244 0.487 0.777129 0.928 0.777129 0.971 0.6632153 0.946 0.6703492 0.903 0.6703492 0.938 0.6703492 0.902 0.6703492 0.941 0.13801
"3" 1.167 0.0499999999999999 10 20 729 20 400 0.477248 0.005 0.507689 0.99 0.507689 0.998 0.3145483 0.942000000000001 0.3362938 0.917 0.3362938 0.957 0.3362938 0.925 0.3362938 0.957 0.338055
"4" 1.167 0.0499999999999999 10 20 729 80 400 0.354023 0 0.373119 0.941 0.373119 0.975 0.3154045 0.941000000000001 0.3201406 0.917 0.3201406 0.948000000000001 0.3201406 0.918 0.3201406 0.947000000000001 0.142265
"5" 1.167 0.0499999999999999 10 20 1996 50 1000 0.301928 0 0.3208 0.985 0.3208 0.997 0.198471 0.939 0.2112898 0.932 0.2112898 0.958 0.2112898 0.939 0.2112898 0.958 0.341993
"6" 1.167 0.0499999999999999 10 20 1996 200 1000 0.224142 0 0.236765 0.97 0.236765 0.977 0.1997662 0.949000000000001 0.2029403 0.939000000000001 0.2029403 0.95 0.2029403 0.938000000000001 0.2029403 0.952 0.143053
"7" 1.167 0.0499999999999999 10 20 9168 200 4000 0.150767 0 0.160821 0.993 0.160821 0.998 0.0991249 0.943 0.1054724 0.942 0.1054724 0.959 0.1054724 0.946 0.1054724 0.958000000000001 0.344691
"8" 1.167 0.0499999999999999 10 20 9168 800 4000 0.111843 0 0.117838 0.968 0.117838 0.978 0.0993882 0.942 0.1009721 0.94 0.1009721 0.949 0.1009721 0.942 0.1009721 0.948 0.143311
"9" 1.5 0.0499999999999999 10 20 159 5 100 1.228394 0.762 1.477736 0.975 1.477736 0.996 0.9586649 0.941 1.0083324 0.891 1.0083324 0.961 1.0083324 0.896 1.0083324 0.965 0.318286
"10" 1.5 0.0499999999999999 10 20 159 20 100 0.929778 0.354 1.11217 0.929 1.11217 0.974 0.9619143 0.941 0.9670261 0.901 0.9670261 0.948 0.9670261 0.905 0.9670261 0.949 0.131176
"11" 1.5 0.0499999999999999 10 20 729 20 400 0.619354 0.001 0.750888 0.989 0.750888 0.996 0.4785534 0.932 0.5059055 0.922 0.5059055 0.961 0.5059055 0.928 0.5059055 0.957000000000001 0.326993
"12" 1.5 0.0499999999999999 10 20 729 80 400 0.464476 0 0.556507 0.965 0.556507 0.987 0.4769919 0.951 0.4822143 0.935 0.4822143 0.963 0.4822143 0.936 0.4822143 0.961 0.1338
"13" 1.5 0.0499999999999999 10 20 1996 50 1000 0.392431 0 0.475476 0.991 0.475476 0.996 0.3020338 0.94 0.3192117 0.942000000000001 0.3192117 0.955 0.3192117 0.944 0.3192117 0.952000000000001 0.32917
"14" 1.5 0.0499999999999999 10 20 1996 200 1000 0.295259 0 0.353498 0.963 0.353498 0.979 0.3025124 0.947000000000001 0.3060609 0.935 0.3060609 0.952 0.3060609 0.94 0.3060609 0.952 0.1344
"15" 1.5 0.0499999999999999 10 20 9168 200 4000 0.196036 0 0.237362 0.995 0.237362 1 0.1498195 0.953 0.1585703 0.954 0.1585703 0.961 0.1585703 0.96 0.1585703 0.961 0.332388
"16" 1.5 0.0499999999999999 10 20 9168 800 4000 0.146959 0 0.176011 0.969 0.176011 0.977 0.1502489 0.957 0.1522761 0.947 0.1522761 0.952 0.1522761 0.95 0.1522761 0.952 0.135049
